Ticket; Date
TAJO-2179;2016-08-29
TAJO-2165;2016-07-11
TAJO-2160;2016-07-06
TAJO-2148;2016-06-28
TAJO-2122;2016-04-27
TAJO-2109;2016-04-18
TAJO-1955;2015-11-03
TAJO-1832;2015-09-23
TAJO-1812;2015-09-03
TAJO-1730;2015-09-17
TAJO-1686;2016-05-11
TAJO-1661;2015-06-25
TAJO-1562;2015-04-29
TAJO-1537;2015-05-19
TAJO-1494;2015-04-07
TAJO-1486;2015-07-22
TAJO-1430;2015-04-13
TAJO-1421;2015-04-05
TAJO-1344;2015-04-18
TAJO-1238;2014-12-10
TAJO-1222;2014-12-03
TAJO-1135;2015-03-06
TAJO-1105;2014-10-09
TAJO-1095;2014-11-28
TAJO-1026;2014-11-11
TAJO-860;2012-07-29
TAJO-849;2014-06-02
TAJO-847;2014-06-18
TAJO-746;2014-04-16
TAJO-711;2012-05-07
TAJO-704;2014-08-19
TAJO-574;2012-03-05
TAJO-494;2014-05-12
TAJO-480;2014-03-31
TAJO-474;2014-01-08
TAJO-449;2012-02-04
TAJO-382;2013-12-21
TAJO-378;2014-03-28
TAJO-377;2014-03-28
TAJO-368;2012-01-18
TAJO-362;2012-01-18
TAJO-361;2012-01-19
TAJO-359;2013-12-05
TAJO-358;2013-12-03
TAJO-353;2014-03-21
TAJO-350;2013-12-01
TAJO-343;2013-12-07
TAJO-342;2012-01-13
TAJO-341;2013-11-30
TAJO-333;2012-01-29
TAJO-306;2013-12-04
TAJO-283;2011-12-29
TAJO-260;2013-10-17
TAJO-235;2014-10-20
TAJO-233;2014-10-17
TAJO-220;2013-10-04
TAJO-213;2016-05-16
TAJO-212;2013-09-30
TAJO-211;2016-05-10
TAJO-206;2016-01-22
TAJO-200;2016-01-28
TAJO-193;2013-09-23
TAJO-185;2015-12-24
TAJO-179;2013-10-07
TAJO-176;2015-09-23
TAJO-144;2013-09-04
TAJO-143;2015-04-13
TAJO-142;2013-09-02
TAJO-139;2015-07-20
TAJO-136;2013-08-28
TAJO-134;2015-09-14
TAJO-123;2013-08-19
TAJO-122;2015-01-19
TAJO-101;2013-01-24
TAJO-34;2013-12-08
TAJO-33;2012-01-10
TAJO-30;2014-03-27
TAJO-29;2011-12-29
TAJO-24;2013-10-13
TAJO-20;2013-09-26
TAJO-19;2016-02-15
